Name,ID,Version,License,Repo,Organisation
iBrick Side Brick,Q232865,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:74544,
Brick,Q794461,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:333529,
Voronoi Brick,Q18462,59ea8480365647dded262aa4ea4fc55f0b785f49,https://spdx.org/licenses/CC0-1.0,https://wikifactory.com/@kriffe/voronoi-brick,
Voronoi Brick,Q73271,59ea8480365647dded262aa4ea4fc55f0b785f49,https://spdx.org/licenses/CC0-1.0,https://wikifactory.com/@kriffe/voronoi-brick,
Voronoi Brick,Q541645,59ea8480365647dded262aa4ea4fc55f0b785f49,https://spdx.org/licenses/CC0-1.0,https://wikifactory.com/@kriffe/voronoi-brick,
brick-struder,Q343030,1.0.0,https://spdx.org/licenses/GPL-3.0-or-later,https://www.thingiverse.com/thing:189201,
badBrick HC-SR04 Sensor Brick Mount.,Q255473,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:99605,
Voronoi Brick,Q187024,59ea8480365647dded262aa4ea4fc55f0b785f49,https://spdx.org/licenses/CC0-1.0,https://wikifactory.com/@kriffe/voronoi-brick,
Voronoi Brick,Q512531,59ea8480365647dded262aa4ea4fc55f0b785f49,https://spdx.org/licenses/CC0-1.0,https://wikifactory.com/@kriffe/voronoi-brick,
brick wall,Q318685,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:166664,